"timestamp [UTC]",message,severityLevel,itemType,customDimensions,"operation_Id","operation_ParentId","client_Type","client_IP","client_City","client_StateOrProvince","client_CountryOrRegion","cloud_RoleName","cloud_RoleInstance",appId,appName,iKey,sdkVersion,itemId,itemCount
"8/15/2025, 7:39:57.178 PM","Initializing Warmup Extension.",1,trace,"{""HostInstanceId"":""2860ddff-abb0-4e06-bf43-4020051fe7b8"",""LogLevel"":""Information"",""prop__{OriginalFormat}"":""Initializing Warmup Extension."",""ProcessId"":""59"",""Category"":""Host.Triggers.Warmup""}",,,PC,"0.0.0.0",,,,weathercrawler,"5E1095C7-638908823427522793","321692c3-b6a0-48aa-81af-95052d414534","/subscriptions/4b6eeb8f-d09a-4d05-bd9c-705cd7509dd3/resourcegroups/climaguate_rg/providers/microsoft.insights/components/weathercrawler","2d020a19-5b68-487b-bc9b-b65001e423e1","azurefunctions: 4.1041.200.1","b5ec7c00-7a0f-11f0-8586-7c1e525c16d3",1
"8/15/2025, 7:39:57.188 PM","Initializing Host. OperationId: 'f1a90432-df26-4b94-a5e8-55c14f0036d7'.",1,trace,"{""HostInstanceId"":""2860ddff-abb0-4e06-bf43-4020051fe7b8"",""LogLevel"":""Information"",""prop__{OriginalFormat}"":""Initializing Host. OperationId: '{operationId}'."",""ProcessId"":""59"",""Category"":""Host.Startup"",""EventName"":""Initializing"",""prop__operationId"":""f1a90432-df26-4b94-a5e8-55c14f0036d7"",""EventId"":""503""}",,,PC,"0.0.0.0",,,,weathercrawler,"5E1095C7-638908823427522793","321692c3-b6a0-48aa-81af-95052d414534","/subscriptions/4b6eeb8f-d09a-4d05-bd9c-705cd7509dd3/resourcegroups/climaguate_rg/providers/microsoft.insights/components/weathercrawler","2d020a19-5b68-487b-bc9b-b65001e423e1","azurefunctions: 4.1041.200.1","b5ec7c02-7a0f-11f0-8586-7c1e525c16d3",1
"8/15/2025, 7:39:57.189 PM","Host initialization: ConsecutiveErrors=0, StartupCount=3, OperationId=f1a90432-df26-4b94-a5e8-55c14f0036d7",1,trace,"{""HostInstanceId"":""2860ddff-abb0-4e06-bf43-4020051fe7b8"",""LogLevel"":""Information"",""prop__{OriginalFormat}"":""Host initialization: ConsecutiveErrors={attemptCount}, StartupCount={startCount}, OperationId={operationId}"",""ProcessId"":""59"",""Category"":""Host.Startup"",""EventName"":""Initialization"",""prop__operationId"":""f1a90432-df26-4b94-a5e8-55c14f0036d7"",""EventId"":""504"",""prop__attemptCount"":""0"",""prop__startCount"":""3""}",,,PC,"0.0.0.0",,,,weathercrawler,"5E1095C7-638908823427522793","321692c3-b6a0-48aa-81af-95052d414534","/subscriptions/4b6eeb8f-d09a-4d05-bd9c-705cd7509dd3/resourcegroups/climaguate_rg/providers/microsoft.insights/components/weathercrawler","2d020a19-5b68-487b-bc9b-b65001e423e1","azurefunctions: 4.1041.200.1","b5ec7c04-7a0f-11f0-8586-7c1e525c16d3",1
"8/15/2025, 7:39:57.204 PM","Traceback (most recent call last):",1,trace,"{""HostInstanceId"":""2860ddff-abb0-4e06-bf43-4020051fe7b8"",""LogLevel"":""Information"",""prop__{OriginalFormat}"":""Traceback (most recent call last):"",""ProcessId"":""59"",""Category"":""Host.Function.Console""}",,,PC,"0.0.0.0",,,,weathercrawler,"5E1095C7-638908823427522793","321692c3-b6a0-48aa-81af-95052d414534","/subscriptions/4b6eeb8f-d09a-4d05-bd9c-705cd7509dd3/resourcegroups/climaguate_rg/providers/microsoft.insights/components/weathercrawler","2d020a19-5b68-487b-bc9b-b65001e423e1","azurefunctions: 4.1041.200.1","b5ec7c05-7a0f-11f0-8586-7c1e525c16d3",1
"8/15/2025, 7:39:57.205 PM","File ""/azure-functions-host/workers/python/3.12/LINUX/X64/azure_functions_worker/utils/wrappers.py"", line 44, in call",1,trace,"{""HostInstanceId"":""2860ddff-abb0-4e06-bf43-4020051fe7b8"",""LogLevel"":""Information"",""prop__{OriginalFormat}"":""File \""/azure-functions-host/workers/python/3.12/LINUX/X64/azure_functions_worker/utils/wrappers.py\"", line 44, in call"",""ProcessId"":""59"",""Category"":""Host.Function.Console""}",,,PC,"0.0.0.0",,,,weathercrawler,"5E1095C7-638908823427522793","321692c3-b6a0-48aa-81af-95052d414534","/subscriptions/4b6eeb8f-d09a-4d05-bd9c-705cd7509dd3/resourcegroups/climaguate_rg/providers/microsoft.insights/components/weathercrawler","2d020a19-5b68-487b-bc9b-b65001e423e1","azurefunctions: 4.1041.200.1","b5ec7c06-7a0f-11f0-8586-7c1e525c16d3",1
"8/15/2025, 7:39:57.205 PM","return func(*args, **kwargs)",1,trace,"{""HostInstanceId"":""2860ddff-abb0-4e06-bf43-4020051fe7b8"",""LogLevel"":""Information"",""prop__{OriginalFormat}"":""return func(*args, **kwargs)"",""ProcessId"":""59"",""Category"":""Host.Function.Console""}",,,PC,"0.0.0.0",,,,weathercrawler,"5E1095C7-638908823427522793","321692c3-b6a0-48aa-81af-95052d414534","/subscriptions/4b6eeb8f-d09a-4d05-bd9c-705cd7509dd3/resourcegroups/climaguate_rg/providers/microsoft.insights/components/weathercrawler","2d020a19-5b68-487b-bc9b-b65001e423e1","azurefunctions: 4.1041.200.1","b5ec7c09-7a0f-11f0-8586-7c1e525c16d3",1
"8/15/2025, 7:39:57.205 PM","^^^^^^^^^^^^^^^^^^^^^",1,trace,"{""HostInstanceId"":""2860ddff-abb0-4e06-bf43-4020051fe7b8"",""LogLevel"":""Information"",""prop__{OriginalFormat}"":""^^^^^^^^^^^^^^^^^^^^^"",""ProcessId"":""59"",""Category"":""Host.Function.Console""}",,,PC,"0.0.0.0",,,,weathercrawler,"5E1095C7-638908823427522793","321692c3-b6a0-48aa-81af-95052d414534","/subscriptions/4b6eeb8f-d09a-4d05-bd9c-705cd7509dd3/resourcegroups/climaguate_rg/providers/microsoft.insights/components/weathercrawler","2d020a19-5b68-487b-bc9b-b65001e423e1","azurefunctions: 4.1041.200.1","b5ec7c0a-7a0f-11f0-8586-7c1e525c16d3",1
"8/15/2025, 7:39:57.205 PM","File ""/azure-functions-host/workers/python/3.12/LINUX/X64/azure_functions_worker/loader.py"", line 244, in index_function_app",1,trace,"{""HostInstanceId"":""2860ddff-abb0-4e06-bf43-4020051fe7b8"",""LogLevel"":""Information"",""prop__{OriginalFormat}"":""File \""/azure-functions-host/workers/python/3.12/LINUX/X64/azure_functions_worker/loader.py\"", line 244, in index_function_app"",""ProcessId"":""59"",""Category"":""Host.Function.Console""}",,,PC,"0.0.0.0",,,,weathercrawler,"5E1095C7-638908823427522793","321692c3-b6a0-48aa-81af-95052d414534","/subscriptions/4b6eeb8f-d09a-4d05-bd9c-705cd7509dd3/resourcegroups/climaguate_rg/providers/microsoft.insights/components/weathercrawler","2d020a19-5b68-487b-bc9b-b65001e423e1","azurefunctions: 4.1041.200.1","b5ec7c0b-7a0f-11f0-8586-7c1e525c16d3",1
"8/15/2025, 7:39:57.205 PM","imported_module = importlib.import_module(module_name)",1,trace,"{""HostInstanceId"":""2860ddff-abb0-4e06-bf43-4020051fe7b8"",""LogLevel"":""Information"",""prop__{OriginalFormat}"":""imported_module = importlib.import_module(module_name)"",""ProcessId"":""59"",""Category"":""Host.Function.Console""}",,,PC,"0.0.0.0",,,,weathercrawler,"5E1095C7-638908823427522793","321692c3-b6a0-48aa-81af-95052d414534","/subscriptions/4b6eeb8f-d09a-4d05-bd9c-705cd7509dd3/resourcegroups/climaguate_rg/providers/microsoft.insights/components/weathercrawler","2d020a19-5b68-487b-bc9b-b65001e423e1","azurefunctions: 4.1041.200.1","b5ec7c0c-7a0f-11f0-8586-7c1e525c16d3",1
"8/15/2025, 7:39:57.205 PM","^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^",1,trace,"{""HostInstanceId"":""2860ddff-abb0-4e06-bf43-4020051fe7b8"",""LogLevel"":""Information"",""prop__{OriginalFormat}"":""^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"",""ProcessId"":""59"",""Category"":""Host.Function.Console""}",,,PC,"0.0.0.0",,,,weathercrawler,"5E1095C7-638908823427522793","321692c3-b6a0-48aa-81af-95052d414534","/subscriptions/4b6eeb8f-d09a-4d05-bd9c-705cd7509dd3/resourcegroups/climaguate_rg/providers/microsoft.insights/components/weathercrawler","2d020a19-5b68-487b-bc9b-b65001e423e1","azurefunctions: 4.1041.200.1","b5ec7c0e-7a0f-11f0-8586-7c1e525c16d3",1
